语音,说话人性别,句式,文本有无语气词,情绪起伏大,严肃(工作事务性)/玩笑,批判（反对）/推荐（赞同）,讽刺/赞赏,音量大小
回来了,男,肯定句,无,正常,,,,正常
唉宣城,男,肯定句,有,起伏大,,,,正常
唉,男,肯定句,有,正常,,,,正常
哎你不是说你超想吃那个白色厨房的吗？我刚刚去买给你了唉,男,反问句,有,起伏大,,,,正常
我不饿,男,否定句,无,正常,,,,正常
啊？你不饿，你不是昨天跟我说你快饿死了，让我今天买一点东西给你吗？,男,疑问句,有,起伏大,,,,正常
我嘴巴痛嘛，吃不下,男,否定句,有,起伏大,,,,正常
你嘴破了？你又嘴破了？,男,疑问句,无,起伏大,,,,变大
没办法啊，吃不好,男,否定句,有,正常,,,,正常
可是，可是我们不是说好下礼拜放假，我们要去那个，要去吃东西吗,男,反问句,有,起伏大,,,,正常
对，我今天找你来就是要跟你说，我可能要取消了,男,肯定句,无,正常,,,,正常
你要取消？,男,疑问句,无,起伏大,,,,变大
没有办法,男,否定句,无,起伏大,,,,正常
唉你好不容易才有个假期，课程好不容易才结束，你不用每天想一些文案，你老是这样你不用再去吃东西了,男,肯定句,有,起伏大,,,,正常
就是每天想才破成这样啊，痛,男,肯定句,有,起伏大,,,,正常
等一下,男,祈使句,无,正常,,,,正常
怎么啦,男,疑问句,有,正常,,,,正常
不是啊，哎呀，你明明自己说好带我去伊兰玩的，然后你今天跟我说你不能去了,男,否定句,有,起伏大,,,,变大
没办法啊，你要干嘛啊,男,疑问句,有,起伏大,,,,正常
你前两天我放你那那一袋东西东西你丢掉了没有？,男,疑问句,无,正常,,,,正常
你说奇异果啊,男,疑问句,有,正常,,,,正常
对啊,男,肯定句,有,正常,,,,正常
在冰箱里,,肯定句,无,正常,,,,正常
太好了,,肯定句,无,正常,,,赞赏,正常
你干嘛啊,,疑问句,有,起伏大,,,,正常
这个真的有效吗,,疑问句,有,起伏大,,,,正常
我跟你讲这个超有效的，你现在马上把奇异果塞到你嘴巴里然后咽下去，等一下你明天就好了,,肯定句,无,起伏大,,,赞赏,正常
等一下他只是说吃一颗感觉就会烧起来唉，一定要吗？感觉很痛唉,,疑问句,有,起伏大,,,,正常
不是啊，好不容易有放假你难道不想出去玩吗,,反问句,有,起伏大,,,,变大
唉，我自己吃我自己吃,,肯定句,有,正常,,,,正常
不用不用我喂你，来,,否定句,无,起伏大,,,,正常
我觉得好像很可怕唉，你确定吗,,疑问句,有,起伏大,,,,正常
我跟你讲，你现在再痛你都要忍下去，来快点张开你的嘴巴,,祈使句,无,起伏大,,,,正常
唔,,肯定句,有,起伏大,,,,正常
我知道很痛，但是你要忍下去，你要吃掉一只的，来好深吸一口气，来吃下去,,肯定句,无,起伏大,,,,变大
感觉烧起来了啦，唔,,肯定句,有,起伏大,,,,变大
好好好，忍住忍住，好我知道，来没事的，来再一口，吃下去，好,,祈使句,无,起伏大,,,,正常
滴到衣服了啦,,肯定句,有,起伏大,,,,变大
来来来来，快点最后一口，最后一口了，来吃下去,,祈使句,无,起伏大,,,,正常
真的好痛啊,,肯定句,有,起伏大,,,,正常
有好一点吗，我知道你很痛来现在回房间去睡一觉明天早上就好了,,疑问句,有,正常,,,,正常
很痛啊,,肯定句,有,起伏大,,,,正常
我知道你很痛，没事了没事啦,,肯定句,有,正常,,,,正常
