语音,说话人性别,句式,文本有无语气词,情绪起伏大,严肃(工作事务性)/玩笑,批判（反对）/推荐（赞同）,讽刺/赞赏,音量大小
那个线代是据说要考这个还有什么？,女,疑问句,有,正常,,,,正常
好像是第5678章。,女,肯定句,无,正常,,,,正常
有那么多吗？我们报告不是只有报告这第五六然后第八章吗,女,反问句,有,正常,,,,正常
那就是第七章，哎第七章好像考过唉，那就是568章,女,肯定句,有,起伏大,,,,正常
这之前有考过，就568吗,女,疑问句,有,起伏大,,,,正常
对，568然后那个,女,肯定句,无,正常,,,,正常
但是那个，它范围在哪,女,疑问句,有,正常,,,,正常
什么？,女,疑问句,无,正常,,,,正常
上次考了没做笔记。,女,否定句,无,正常,,,,正常
表现主义，象征主义之类的吧,女,肯定句,有,正常,,,,正常
哪里啦,女,疑问句,有,正常,,,,正常
我看我看，对啊就是这个啦，14章,女,肯定句,有,正常,,,,正常
就这里嘛，哎真的假的，在这里,女,肯定句,有,正常,,,,正常
哎拜托，它看起来很小，但是老师写的东西你都看不懂好不好,女,反问句,有,起伏大,,,,变大
啊也是，你说这里考到哪里，好多哦，该不会都考完吧？,女,疑问句,有,正常,,,,正常
真的是，真的是无法理解他的字句唉，就是都会好奇,女,肯定句,有,起伏大,,,,正常
傻眼，明天要考，会的真是很少。,女,肯定句,无,起伏大,,,,正常
看吧看吧。所以，表现主义是什么呢？,女,疑问句,有,正常,,,,正常
表现主义，等下我才刚看，表现主义我记得那时候，我看一下噢，我忘记了，啊不想看了，好烦哎，等下，我看下这边的范围多少。,女,疑问句,有,起伏大,,,,正常
哎等一下！那个班长整理的笔记，重点整理的，那我们看这个就好啦，她超强的，我之前的一科就是靠她救回来的，我之前都没怎么去上课，但我就看他的笔记就过了,女,肯定句,有,起伏大,,,,变大
我看起来很多啊,女,肯定句,有,正常,,,,正常
六页，就都有了哎，超强的哎，太佩服她了，就看这个了，我们明天早上看，下午考试，现在就可以睡觉了，六页而已嘛，那么简单,女,肯定句,有,起伏大,,,赞赏,变大
