语音,valence,arousal,说话人性别,句式,文本有无语气词,单句情绪起伏,严肃(工作事务性)/玩笑,推荐（赞同）/批判（反对）,讽刺/赞赏,音量大小
我跟你说，我上个星期跟李梦雪去面试一个广告，我之前有跟他去面试一个广告，我们一起上了，然后我很开心。,,,男,肯定句,无,起伏大,严肃,,,正常
我觉得一路下来我应该不差吧，结果这个广告他上了我没上，他现在是美招健康的代言人。,,,男,反问句,有,起伏大,严肃,,,正常
然后我就｀｀我不知道，我觉得我表现也不会比他差啊，我笑起来也不会比他差啊，然后她身材也就｀｀我就 我不知道怎么这样,,,男,否定句,有,起伏大,严肃,,,正常
然后还有很多啊，之前去剧团面试也都是他上，,,,男,肯定句,有,起伏大,严肃,,,正常
然后他今天早上还找我，明明他今天就已经上美招他应该很开心，他还找我诉苦，他上我没有上我就已经心里很不是滋味，然后他今天还跟我讲他根本山分手的事情。,,,男,疑问句,无,起伏大,严肃,,,正常
我就在想为什么，就是我当他朋友，我自己心情也没有很好，还要在他面前卖笑，我就觉得就很不是滋味，有点挫折感，他一整个下午都在讲他跟本山怎么分手，他就那个个性一直在讲来讲去。,,,男,否定句,无,正常,严肃,,,正常
然后我说你不是上了美招你应该很开心。,,,男,疑问句,无,正常,严肃,,讽刺,正常
然后他说自己的事业自己顾不上。我不知道他们两个想怎样。,,,男,疑问句,无,正常,严肃,,,正常
你干嘛你今天去哪里？,,,男,疑问句,无,正常,严肃,,,正常
也去面试啊,,,男,肯定句,有,正常,严肃,,,变小
去面试什么？,,,男,疑问句,无,正常,严肃,,,正常
你不知道吗，我今天去一个杂志封面面试,,,男,反问句,有,正常,严肃,,,正常
然后呢？,,,男,疑问句,有,正常,严肃,,,正常
然后心比就也有去啊,,,男,肯定句,有,正常,严肃,,,正常
心比？我们班的张心比？,,,男,疑问句,无,起伏大,严肃,,,变大
然后结果，他竟然上了我没有上,,,男,否定句,无,正常,严肃,,,正常
呃｀｀所以我们现在算是同病相怜啊,,,男,反问句,有,正常,严肃,,,正常
差不多唉,,,男,肯定句,有,正常,严肃,,,正常
我们一起去吃大堡雕伤一下好不好,,,男,疑问句,无,起伏大,严肃,,,正常
我没有钱,,,男,否定句,无,正常,严肃,,,正常
我可以借给你,,,男,肯定句,无,起伏大,严肃,,,正常
可恶的李梦雪,,,男,肯定句,无,起伏大,严肃,,,正常
